,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
103,103,2023-02-02 21:14:56+00:00,1,Twitter for iPhone,"@Beardybill1 My cousin had the Evol Knevil motorcycle, I want to be team leader!😂😂😂",Beardybill1 My cousin had the Evol Knevil motorcycle I want to be team leader,positive
104,104,2023-02-02 21:06:40+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr And the article is believable because?,Greg72639498 landoak162536 RobertKennedyJr And the article is believable because,neutral
105,105,2023-02-02 20:23:59+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus There isn’t 350 million people in the UK,ammejo1 MichaelJohn81 shardi2209 abiroberts toryboypierce mailplus There isnt 350 million people in the UK,neutral
106,106,2023-02-02 19:35:52+00:00,0,Twitter for iPhone,"@ron_hutch @abiroberts @toryboypierce @mailplus Of course you do, but virus mutates and you’re no longer protected, you know, like flu.",ronhutch abiroberts toryboypierce mailplus Of course you do but virus mutates and youre no longer protected you know like flu,positive
107,107,2023-02-02 19:34:26+00:00,0,Twitter for iPhone,"@SWYW2023 @YCFC1972 @ChrisDuhamelJsy @theonlyindieboy @michellegayle1 @AnyOldIronUSA @chesters_eds @nicd__d @Andrew_Chester I’m playing Michelle this week, good luck Birthday Girrrrl.",SWYW2023 YCFC1972 ChrisDuhamelJsy theonlyindieboy michellegayle1 AnyOldIronUSA chesterseds nicdd AndrewChester Im playing Michelle this week good luck Birthday Girrrrl,positive
108,108,2023-02-02 19:31:51+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus 350 million people? Where?,ammejo1 MichaelJohn81 shardi2209 abiroberts toryboypierce mailplus 350 million people Where,neutral
109,109,2023-02-02 19:30:58+00:00,0,Twitter for iPhone,@ammejo1 @abiroberts @toryboypierce @mailplus Shield them? Who would look after them and how would they keep Covid free?,ammejo1 abiroberts toryboypierce mailplus Shield them Who would look after them and how would they keep Covid free,positive
110,110,2023-02-02 19:20:11+00:00,66,Twitter for iPhone,@MhariAurora https://t.co/QxerxCvfSG,MhariAurora,neutral
111,111,2023-02-02 19:16:04+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr “Whistle Blower” lol.,Greg72639498 landoak162536 RobertKennedyJr Whistle Blower lol,positive
112,112,2023-02-02 19:15:38+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr The CDC conspiracy is Bull shit too,Greg72639498 landoak162536 RobertKennedyJr The CDC conspiracy is Bull shit too,negative
