,Date Created,Number of Likes,Source of Tweet,Tweets
108,2023-02-02 19:31:51+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus 350 million people? Where?
109,2023-02-02 19:30:58+00:00,0,Twitter for iPhone,@ammejo1 @abiroberts @toryboypierce @mailplus Shield them? Who would look after them and how would they keep Covid free?
110,2023-02-02 19:20:11+00:00,66,Twitter for iPhone,@MhariAurora https://t.co/QxerxCvfSG
111,2023-02-02 19:16:04+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr “Whistle Blower” lol.
112,2023-02-02 19:15:38+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr The CDC conspiracy is Bull shit too
113,2023-02-02 19:15:12+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr “American whistle blower” is bull shit.
114,2023-02-02 19:03:16+00:00,1,Twitter for iPhone,@Doctor_Cr @Article4Warrior @healthbyjames https://t.co/xEkYim84XC
115,2023-02-02 18:57:18+00:00,0,Twitter for iPhone,"@Thisisus202020 @abiroberts @toryboypierce @mailplus Yes it did, but they still died of Covid, I still don’t understand how you’d keep them safe though, given you probably think masks don’t work."
116,2023-02-02 18:52:34+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr Loooooolz. Bull shit.
117,2023-02-02 18:51:47+00:00,0,Twitter for iPhone,"@Greg72639498 @landoak162536 @RobertKennedyJr 1/ Is there a large increase?
2/ If there is, is it Covid?"
118,2023-02-02 18:50:16+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus Eh?
119,2023-02-02 18:49:27+00:00,0,Twitter for iPhone,@ammejo1 @abiroberts @toryboypierce @mailplus How do you protect those people?
120,2023-02-02 18:49:00+00:00,0,Twitter for iPhone,"@ron_hutch @abiroberts @toryboypierce @mailplus If you limit infections then you limit transmission, right?"
121,2023-02-02 18:48:15+00:00,0,Twitter for iPhone,@MichaelJohn81 @abiroberts @toryboypierce @mailplus Please tell me why?
122,2023-02-02 15:13:58+00:00,0,Twitter for iPhone,@ron_hutch @abiroberts @toryboypierce @mailplus Another crank.
123,2023-02-02 15:13:11+00:00,0,Twitter for iPhone,"@MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus Yep, when it was killing 1% of the infected."
124,2023-02-02 15:12:26+00:00,0,Twitter for iPhone,@MichaelJohn81 @abiroberts @toryboypierce @mailplus Vaccines don’t work like that crank.
125,2023-02-02 07:15:43+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff Get in there!!!!

Daily Quordle 374
8️⃣6️⃣
3️⃣9️⃣
https://t.co/NULuuOc7rm"
126,2023-02-02 05:58:11+00:00,1,Twitter for iPhone,"@LittleScoff @ROfiron Wordle 593 4/6

🟨⬜🟩🟨⬜
⬜🟨🟩🟨⬜
⬜🟩⬜🟩⬜
🟩🟩🟩🟩🟩"
127,2023-02-02 05:57:55+00:00,1,Twitter for iPhone,"@Greg72639498 @landoak162536 @RobertKennedyJr If you die a sudden death in the UK and you are not under medical supervision, you have a Post Mortem, where are all the PM stating , cause of death , Covid vaccine? Unless you have a conspiracy for that too,right?"
128,2023-02-01 23:09:40+00:00,0,Twitter for iPhone,@steveh1036 @DarthKansasCity @RedDevil680 @healthbyjames In English please.
129,2023-02-01 22:57:41+00:00,1,Twitter for iPhone,@piersmorgan https://t.co/2l8mQmPXXn
130,2023-02-01 22:24:49+00:00,9,Twitter for iPhone,"@abiroberts @toryboypierce @mailplus You’d have just let Covid run through the vulnerable and elderly without any mitigation, you should be in jail."
131,2023-02-01 22:03:34+00:00,1,Twitter for iPhone,@edwardtimpson @RishiSunak @Conservatives Call for an election now.
132,2023-02-01 22:00:09+00:00,0,Twitter for iPhone,@soriguana @severson1977 @landoak162536 @RobertKennedyJr “Apparently” https://t.co/2Sv4Go00NO
133,2023-02-01 21:41:36+00:00,0,Twitter for iPhone,@severson1977 @landoak162536 @RobertKennedyJr So who confirms vaccine injury?
134,2023-02-01 21:40:21+00:00,0,Twitter for iPhone,"@soriguana @severson1977 @landoak162536 @RobertKennedyJr So nobody signs it off, as a vaccine injury,right?"
135,2023-02-01 20:35:25+00:00,0,Twitter for iPhone,"@DarthKansasCity @RedDevil680 @healthbyjames I’ll tell you what’s amusing, your pathetic reasoning behind owning a gun."
136,2023-02-01 19:58:25+00:00,0,Twitter for iPhone,@PrivateIncome @JohnDoomen1 @PeterSweden7 https://t.co/zWSmPwfzeO
137,2023-02-01 19:57:19+00:00,1,Twitter for iPhone,@Moai214527262 @PeterSweden7 Here’s a handy bingo card. https://t.co/OPChnHkrTQ
138,2023-02-01 19:48:59+00:00,1,Twitter for iPhone,@severson1977 @landoak162536 @RobertKennedyJr Who confirms that an injury is vaccine related on the VAERS?
139,2023-02-01 19:47:21+00:00,0,Twitter for iPhone,@LumpyGravy3 @landoak162536 @RobertKennedyJr https://t.co/cul7vfkdNK
140,2023-02-01 19:47:00+00:00,1,Twitter for iPhone,@landoak162536 @RobertKennedyJr Absolute bollocks.
141,2023-02-01 19:44:03+00:00,2,Twitter for iPhone,@RobertKennedyJr https://t.co/1Dj3lEzyQC
142,2023-02-01 19:12:36+00:00,0,Twitter for iPhone,@RedDevil680 @DarthKansasCity @healthbyjames Looooolz.
143,2023-02-01 18:18:49+00:00,0,Twitter for iPhone,@RedDevil680 @DarthKansasCity @healthbyjames I’m not the one with an AR-15.
144,2023-02-01 12:27:02+00:00,0,Twitter for iPhone,@Frenchie130 @Nigel_Farage @Daily_Express You’ve been hacked.
145,2023-02-01 07:17:33+00:00,0,Twitter for iPhone,@LittleScoff @ROfiron Bloody hell………..#scenes
146,2023-02-01 06:11:42+00:00,0,Twitter for iPhone,@ROfiron @LittleScoff I don’t have time for quordle
147,2023-02-01 06:03:58+00:00,1,Twitter for iPhone,"@LittleScoff @ROfiron On it!

Wordle 592 5/6

⬜⬜⬜🟨⬜
🟩🟨⬜⬜🟩
🟩⬜🟩⬜🟩
🟩⬜🟩⬜🟩
🟩🟩🟩🟩🟩"
148,2023-02-01 06:02:59+00:00,0,Twitter for iPhone,@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Not mass shootings.
149,2023-02-01 05:53:55+00:00,0,Twitter for iPhone,@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Tell me how many  mass shootings have been stopped by “private shooters”?
150,2023-02-01 05:52:34+00:00,0,Twitter for iPhone,"@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid No, his intentions are to keep more children alive, are you seriously saying hes advocating a mass population cull?
Of course you are. https://t.co/yQAGoooZ3z"
151,2023-02-01 05:49:48+00:00,0,Twitter for iPhone,@mattypark2 @Tr330fLib3rty @DarthKansasCity @healthbyjames Yep sure.
152,2023-02-01 05:36:43+00:00,0,Twitter for iPhone,"@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Funny how when a mass shooter turns up, the skills seem to disappear."
153,2023-01-31 23:00:01+00:00,0,Twitter for iPhone,@DarthKansasCity @david77SGT @Tr330fLib3rty @healthbyjames But there’s you hiding behind your sofa with your gun.
154,2023-01-31 22:51:17+00:00,0,Twitter for iPhone,"@DarthKansasCity @david77SGT @Tr330fLib3rty @healthbyjames You’re an American , you’re so stupid, you accept this as normal. https://t.co/xcC6BnlVaU"
155,2023-01-31 22:47:23+00:00,0,Twitter for iPhone,@Timboslice528 @Tr330fLib3rty @DarthKansasCity @healthbyjames Thanks for proving my point.
156,2023-01-31 22:46:06+00:00,0,Twitter for iPhone,"@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid Looooolz, all he saying is, if children stop dying of childhood diseases then people will have less children. You utter loon."
157,2023-01-31 22:35:33+00:00,0,Twitter for iPhone,@are_miserable @Tr330fLib3rty @DarthKansasCity @healthbyjames You obviously don’t use them to teach English.
158,2023-01-31 22:00:00+00:00,0,Twitter for iPhone,"@Tr330fLib3rty @DarthKansasCity @healthbyjames You have guns because you live in fear, you’re told the gun will keep you safe but other people with guns are your greatest fear, absolutely nothing to do with rights."
159,2023-01-31 21:53:39+00:00,0,Twitter for iPhone,@Tr330fLib3rty @DarthKansasCity @healthbyjames Why would you have a gun?
160,2023-01-31 21:53:04+00:00,0,Twitter for iPhone,@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid https://t.co/bNvXQC1xC3
161,2023-01-31 21:48:41+00:00,8,Twitter for iPhone,@DarthKansasCity @healthbyjames That’s because you live in fear.
162,2023-01-31 21:47:35+00:00,0,Twitter for iPhone,@FurFeather3 @amunratep @RexThando @DrEliDavid Absolute bollocks.
163,2023-01-31 20:29:35+00:00,2,Twitter for iPhone,"@snb19692 Steve, you should have reminded him, it’ll soon be #lemonday"
164,2023-01-31 20:19:27+00:00,0,Twitter for iPhone,"@SkyNews Huge Brexit bonus right there, money and cost of living crisis are overrated when you can eat three meals of sovereignty a day!"
165,2023-01-31 20:11:11+00:00,1,Twitter for iPhone,@PetronellaWyatt Another subtle whiff of racism.
166,2023-01-31 06:06:49+00:00,1,Twitter for iPhone,@ROfiron @LittleScoff https://t.co/8u4L2wsxia
167,2023-01-31 06:05:15+00:00,0,Twitter for iPhone,@MikeyTheBuddie And there’s no segregation within  women’s prisons.
168,2023-01-31 05:50:54+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 372
8️⃣6️⃣
4️⃣7️⃣
https://t.co/NULuuOc7rm"
169,2023-01-31 05:39:17+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Wordle 591 4/6

🟨⬜⬜🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
170,2023-01-30 22:52:23+00:00,1,Twitter for iPhone,"@Arron_banks @john4brexit Where’s the FTA with the USA, crank?"
171,2023-01-30 22:42:31+00:00,0,Twitter for iPhone,@DonaldWhoAreYa “Blower” does he think he’s Carter  in the Sweeney?
172,2023-01-30 22:25:43+00:00,13,Twitter for iPhone,"@JuliaHB1 @SancastleAir Preferring the life of a suspected rapist and people trafficker over a twenty year old eco activist , I’d say his midlife is a lot more appealing."
173,2023-01-30 22:22:04+00:00,1,Twitter for iPhone,@JuliaHB1 “No peeking” at the benefits. There aren’t any.
